3435356	Colegiales	Colegiales	-34.57365	-58.44924	AR	America/Argentina/Buenos_Aires
3435810	Campana	Campana	-34.16874	-58.95914	AR	America/Argentina/Buenos_Aires
3435910	Buenos Aires	Buenos Aires	-34.61315	-58.37723	AR	America/Argentina/Buenos_Aires
3436124	Barranqueras	Barranqueras	-27.48299	-58.93579	AR	America/Argentina/Cordoba
3436199	Azul	Azul	-36.77698	-59.85854	AR	America/Argentina/Buenos_Aires
3832260	Yerba Buena	Yerba Buena	-26.81667	-65.31667	AR	America/Argentina/Tucuman
3832694	Villa María	Villa Maria	-32.40751	-63.24016	AR	America/Argentina/Cordoba
3832791	Villa Carlos Paz	Villa Carlos Paz	-31.42414	-64.49778	AR	America/Argentina/Cordoba
3833062	Venado Tuerto	Venado Tuerto	-33.74556	-61.96884	AR	America/Argentina/Cordoba
3833367	Ushuaia	Ushuaia	-54.8	-68.3	AR	America/Argentina/Ushuaia
3833883	Trelew	Trelew	-43.24895	-65.30505	AR	America/Argentina/Catamarca
3834601	Tartagal	Tartagal	-22.51636	-63.80131	AR	America/Argentina/Salta
3835793	Santo Tomé	Santo Tome	-31.66274	-60.7653	AR	America/Argentina/Cordoba
3835869	Santiago del Estero	Santiago del Estero	-27.79511	-64.26149	AR	America/Argentina/Cordoba
3835994	Santa Rosa	Santa Rosa	-36.61667	-64.28333	AR	America/Argentina/Salta
3836277	Santa Fe de la Vera Cruz	Santa Fe de la Vera Cruz	-31.63333	-60.7	AR	America/Argentina/Cordoba
3836564	San Salvador de Jujuy	San Salvador de Jujuy	-24.19456	-65.29712	AR	America/Argentina/Jujuy
3836620	San Ramón de la Nueva Orán	San Ramon de la Nueva Oran	-23.13223	-64.32598	AR	America/Argentina/Salta
3836669	San Rafael	San Rafael	-34.61772	-68.33007	AR	America/Argentina/Mendoza
3836772	San Pedro	San Pedro	-24.23127	-64.86614	AR	America/Argentina/Jujuy
3836846	San Nicolás de los Arroyos	San Nicolas de los Arroyos	-33.33578	-60.22523	AR	America/Argentina/Buenos_Aires
3836873	San Miguel de Tucumán	San Miguel de Tucuman	-26.82414	-65.2226	AR	America/Argentina/Tucuman
3836992	San Martín	San Martin	-33.08103	-68.46814	AR	America/Argentina/Mendoza
3837056	San Luis	San Luis	-33.29501	-66.33563	AR	America/Argentina/San_Luis
3837213	San Juan	San Juan	-31.5375	-68.53639	AR	America/Argentina/San_Juan
3837675	San Francisco	San Francisco	-31.42797	-62.08266	AR	America/Argentina/Cordoba
3837702	San Fernando del Valle de Catamarca	San Fernando del Valle de Catamarca	-28.46957	-65.78524	AR	America/Argentina/Catamarca
3838233	Salta	Salta	-24.7859	-65.41166	AR	America/Argentina/Salta
3838583	Rosario	Rosario	-32.94682	-60.63932	AR	America/Argentina/Cordoba
3838793	Río Tercero	Rio Tercero	-32.17301	-64.11406	AR	America/Argentina/Cordoba
3838859	Río Gallegos	Rio Gallegos	-51.62261	-69.21813	AR	America/Argentina/Rio_Gallegos
3838874	Río Cuarto	Rio Cuarto	-33.13067	-64.34992	AR	America/Argentina/Cordoba
3839479	Rafaela	Rafaela	-31.25033	-61.4867	AR	America/Argentina/Cordoba
3839982	Punta Alta	Punta Alta	-38.87588	-62.07359	AR	America/Argentina/Buenos_Aires
